year,scenario_id,scenario_name_cn,scenario_order,candidate_count,pond_feasible_count,pond_selected_count,q_brine_m3_year,annual_electricity_kwh_year,annual_cost_cny_year,annual_carbon_tco2_year
2002,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2003,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
2003,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2003,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2004,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,98718335.22599086,9728.282719300045
2004,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2004,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2005,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,95317206.34087981,9728.282719300045
2005,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2005,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2006,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,96521706.71196702,9728.282719300045
2006,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2006,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2007,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
2007,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2007,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2008,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,97903788.68466964,9728.282719300045
2008,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2008,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2009,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,97887457.51625586,9728.282719300045
2009,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2009,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2010,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,98618257.57988782,9728.282719300045
2010,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2010,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2011,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,102226957.00919208,9728.282719300045
2011,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2011,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2012,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,102677578.15261942,9728.282719300045
