year,scenario_id,scenario_name_cn,scenario_order,facility_count,mean_e_net_m_year,v_net_m3_year,v_service_m3_year,shadow_avoided_electricity_kwh_year,shadow_gross_mechanical_cost_cny_year,shadow_net_cost_difference_cny_year,shadow_avoided_carbon_tco2_year,process_electricity_kwh_year,process_electricity_cost_cny_year,process_electricity_carbon_tco2_year,nonpositive_facility_count,negative_pi_cost_facility_count,v_net_10k_m3_year,v_service_10k_m3_year,nonpositive_facility_share_pct
2013,estimated_lower,估算下界,1,2486,0.21886440404666116,18697948.92721359,29278334.77454413,439175021.618162,431855437.924526,-207887523.97599813,197074.02171062535,9372325066.875912,4217546280.0941606,4001413.6853233166,852,1307,1869.794892721359,2927.8334774544132,34.27192276749798
2013,estimated_base,估算基准,2,2486,0.3879250573209976,32497630.55562,39628853.916395,792577078.3279,1109607909.65906,-1194956402.8852699,442156.8159549141,15840959768.367779,10296623849.439056,8452908.875644179,652,1729,3249.763055562,3962.8853916395,26.22687047465809
2013,estimated_upper,估算上界,3,2486,0.47980584714400654,39997457.52758001,45623188.973606005,1140579724.34015,2167101476.2462854,-6557125315.184382,761229.9218722337,25841920616.609165,23257728554.94825,16544182.57949164,539,1927,3999.745752758001,4562.3188973606,21.68141592920354
2014,estimated_lower,估算下界,1,2486,0.14671595968624282,13013983.602110708,29060913.981554795,435913709.7233219,428648481.2279332,-64818546.495360784,195834.07211303734,9259562620.397255,4166803179.178765,3947431.9790053144,1197,809,1301.398360211071,2906.0913981554795,48.14963797264682
2014,estimated_base,估算基准,2,2486,0.3070839652051488,26122771.193159997,37293071.0507725,745861421.01545,1044205989.42163,-813553242.9280365,417113.5689881686,15650550587.397324,10172857881.808262,8339097.373187746,997,1366,2612.2771193159997,3729.3071050772505,40.10458567980692
2014,estimated_upper,估算上界,3,2486,0.39424048994368466,33247112.275252007,42289901.314432,1057247532.8608001,2008770312.4355202,-5360542072.867567,707991.6762168355,25531235111.487324,22978111600.33859,16321725.197978087,852,1612,3324.7112275252007,4228.9901314432,34.27192276749798
2015,estimated_lower,估算下界,1,2486,-0.02588220696701542,-1097130.7161412311,25206027.415937595,378090411.2390639,371788904.3850795,-93993208.43983252,172742.52586552466,9280517431.987335,4176232844.3943005,3963153.1633401224,1250,888,-109.71307161412311,2520.6027415937597,50.2815768302494
2015,estimated_base,估算基准,2,2486,0.1311498049074819,11739780.3576025,32640697.9115225,652813958.23045,913939541.52263,-677456810.1388953,370087.5772765438,15685873829.581944,10195817989.228264,8372185.615113909,1169,1244,1173.97803576025,3264.06979115225,47.02333065164924
2015,estimated_upper,估算上界,3,2486,0.21649328962188263,18716362.462898005,36886226.36659,922155659.1647501,1752095752.4130251,-4059110372.3568044,624606.6319964334,25588891375.146713,23030002237.632046,16386316.350916011,1115,1356,1871.6362462898005,3688.622636659,44.85116653258246
2016,estimated_lower,估算下界,1,2486,-0.15885910070796477,-12263806.518629273,20969503.145287953,314542547.1793193,309300171.3929973,-142870928.3977463,142786.6247072221,9258357191.906717,4166260736.358023,3949389.2858469686,1281,1015,-1226.3806518629274,2096.9503145287954,51.528559935639585
2016,estimated_base,估算基准,2,2486,-0.002500786403861641,496224.0470474987,27946392.37012,558927847.4024,782498986.36336,-727500933.010689,315596.60304867727,15648412861.007996,10171468359.655197,8343080.534351165,1224,1200,49.62240470474987,2794.639237012,49.23572003218021
2016,estimated_upper,估算上界,3,2486,0.08247655832662917,7431023.267524005,31875417.480526004,796885437.0131501,1514082330.3249853,-3930989203.4459915,538584.9597198553,25527726619.14234,22974953957.228107,16329231.491225505,1186,1287,743.1023267524005,3187.5417480526003,47.707160096540626
