year,scenario_id,scenario_name_cn,process_type_p,facility_count,annual_wastewater_m3_year,process_electricity_kwh_year,process_electricity_carbon_tco2_year,shadow_avoided_carbon_tco2_year,process_carbon_share_pct,process_carbon_10k_tco2_year,process_name_cn
1984,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,51405598.50934929,28006.060193863646,13936.0096445075,0.31747663182419006,2.8006060193863647,稳定塘/氧化塘
1984,estimated_base,估算基准,low_conventional,166,13498795000.0,4339359569.740999,2290875.9895989858,7972.81373263131,25.969364775704918,229.08759895989857,常规工艺
1984,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,12134789941.501085,6502573.574497838,362302.3407141786,73.7131585924709,650.2573574497837,氧化沟/SBR
1985,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50737190.591128126,27631.932612669236,12553.770508595,0.3160954305632084,2.7631932612669234,稳定塘/氧化塘
1985,estimated_base,估算基准,low_conventional,166,13498795000.0,4307910552.842457,2274812.2061998453,5808.15479417019,26.022709082588534,227.48122061998453,常规工艺
1985,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,12013714223.090702,6439198.397251856,320503.5168971554,73.66119548684826,643.9198397251855,氧化沟/SBR
1986,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50364474.68971476,27406.08952518025,16730.0755502925,0.3164085741017703,2.740608952518025,稳定塘/氧化塘
1986,estimated_base,估算基准,low_conventional,166,13498795000.0,4281339340.5472574,2259229.215815283,8774.8001218062,26.083235774603743,225.9229215815283,常规工艺
1986,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11903713655.130922,6374978.749519284,454187.13941406895,73.6003556512945,637.4978749519283,氧化沟/SBR
1987,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49517806.262852356,26930.76864119479,12837.9487430125,0.31296277572656916,2.693076864119479,稳定塘/氧化塘
1987,estimated_base,估算基准,low_conventional,166,13498795000.0,4260635214.766674,2248819.7925526705,5571.94130125332,26.133560974920133,224.88197925526705,常规工艺
1987,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11814836148.470434,6329352.259316584,306137.2913221638,73.5534762493533,632.9352259316585,氧化沟/SBR
1988,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50515433.27726671,27526.708991740292,12839.402908235,0.32031282197230654,2.752670899174029,稳定塘/氧化塘
1988,estimated_base,估算基准,low_conventional,166,13498795000.0,4247663636.2190533,2240404.4498197213,8262.84828240456,26.07032580234713,224.04044498197212,常规工艺
1988,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11815884574.61744,6325764.473553884,404942.6959888826,73.60936137568056,632.5764473553884,氧化沟/SBR
1989,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50252876.732405275,27344.251304554276,13503.00672899,0.3201414197918739,2.7344251304554277,稳定塘/氧化塘
1989,estimated_base,估算基准,low_conventional,166,13498795000.0,4219598753.8195024,2225129.889715507,7381.94581330374,26.051407814417395,222.51298897155073,常规工艺
1989,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11758812167.123861,6288829.67475328,371376.97385235986,73.62845076579073,628.8829674753281,氧化沟/SBR
1990,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49411291.466537505,26889.848861186885,10708.976527215,0.3182198273590185,2.6889848861186887,稳定塘/氧化塘
1990,estimated_base,估算基准,low_conventional,166,13498795000.0,4157804014.8508897,2192373.0898925024,4426.0089321708,25.944979823934812,219.23730898925024,常规工艺
1990,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11639621088.842817,6230822.99220545,232909.05200048783,73.73680034870618,623.082299220545,氧化沟/SBR
1991,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49948612.24208734,27200.482789787373,14046.625582995,0.31688063239978537,2.7200482789787372,稳定塘/氧化塘
1991,estimated_base,估算基准,low_conventional,166,13498795000.0,4230163282.7742133,2234163.6740962034,7064.5236181707905,26.02759676743837,223.41636740962034,常规工艺
1991,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11793680450.20416,6322462.056724469,346293.024042023,73.65552260016185,632.2462056724469,氧化沟/SBR
1992,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50121924.07896459,27262.541073059605,15475.0243863125,0.3176583500914794,2.7262541073059605,稳定塘/氧化塘
1992,estimated_base,估算基准,low_conventional,166,13498795000.0,4235355327.6692576,2232818.5784781273,9559.30252761729,26.016410715061948,223.28185784781272,常规工艺
1992,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11814138499.370228,6322265.626633362,429583.2374280793,73.66593093484659,632.2265626633362,氧化沟/SBR
1993,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50282664.31755225,27404.7949962295,13683.4429259,0.3166958107767776,2.74047949962295,稳定塘/氧化塘
1993,estimated_base,估算基准,low_conventional,166,13498795000.0,4265037728.499585,2250786.623495444,6607.286675697631,26.01058299146147,225.07866234954443,常规工艺
1993,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11892489225.122046,6375157.967157672,338506.23355064273,73.67272119776176,637.5157967157672,氧化沟/SBR
1994,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48173251.58138839,26192.40073993931,17661.675105955,0.3169609282192606,2.619240073993931,稳定塘/氧化塘
1994,estimated_base,估算基准,low_conventional,166,13498795000.0,4071455924.6998916,2144440.6546838535,10105.481012824619,25.950423833553792,214.44406546838536,常规工艺
1994,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11389058267.143707,6092972.458067283,440835.2086553683,73.73261523822696,609.2972458067283,氧化沟/SBR
1995,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49364329.57789745,26850.48493519664,18837.712943015,0.31582919612737653,2.685048493519664,稳定塘/氧化塘
1995,estimated_base,估算基准,low_conventional,166,13498795000.0,4201978108.187848,2214968.8239651727,9927.25782139521,26.053601073071192,221.49688239651726,常规工艺
1995,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11689502319.357603,6259764.8588811355,452860.5158611117,73.63056973080143,625.9764858881135,氧化沟/SBR
1996,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50239106.46649659,27370.31102073595,15245.58297343,0.31645528956844543,2.737031102073595,稳定塘/氧化塘
1996,estimated_base,估算基准,low_conventional,166,13498795000.0,4256663325.1827307,2247062.2006729566,8061.6057052407305,25.980512930727684,224.70622006729567,常规工艺
1996,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11886947711.261763,6374596.88454779,375619.8366311062,73.70303177970388,637.459688454779,氧化沟/SBR
1997,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48600971.8446506,26381.99137385644,19465.03616025,0.3170625235909635,2.638199137385644,稳定塘/氧化塘
1997,estimated_base,估算基准,low_conventional,166,13498795000.0,4111947076.483907,2164321.858097511,11026.98176242245,26.01112783591854,216.43218580975108,常规工艺
1997,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11472351683.90464,6130049.759331469,509401.8289060829,73.67180964049051,613.004975933147,氧化沟/SBR
1998,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,47999216.55679091,26091.818166643967,11958.34628093,0.3174876669732071,2.6091818166643965,稳定塘/氧化塘
1998,estimated_base,估算基准,low_conventional,166,13498795000.0,4050751720.9021835,2134723.6138205063,5526.357187333349,25.97551521537607,213.47236138205062,常规工艺
1998,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11322921708.746384,6057399.283372442,287492.749147519,73.70699711765072,605.7399283372442,氧化沟/SBR
1999,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48628085.540988624,26401.59097430021,15471.550732560001,0.3181928313077148,2.6401590974300206,稳定塘/氧化塘
